#1-大一上
gpa,20
activity,4.5
scholarship,4
competition,3.5
ielts,3
toefl,3
gre,2.5
gmat,2.5
internship,2
credential,1
research,0.9
#2-大一下
gpa,20
competition,4.5
scholarship,4
activity,3.5
ielts,3
toefl,3
gre,2.5
gmat,2.5
internship,2
credential,1
research,0.9
#3-大二上
gpa,20
competition,4.5
gre,4
gmat,4
scholarship,3.5
internship,3
research,2.5
ielts,2
toefl,2
credential,1
activity,0.9
#4-大二下
gpa,20
gre,4.5
gmat,4.5
competition,4
internship,3.5
credential,3
research,2.5
scholarship,2
ielts,1
toefl,1
activity,0.9
#5-大三上
gpa,5
ielts,4.5
toefl,4.5
gre,4
gmat,4
research,3.5
internship,3
competition,2.5
credential,2
scholarship,1
activity,0.9
#6-大三下
gpa,5
gre,4.5
ielts,4
toefl,4
research,3.5
internship,3
competition,2.5
credential,2
scholarship,1
activity,0.9
#7-大四上
ielts,5
toefl,5
gre,4.5
gmat,4.5
gpa,4
research,3.5
internship,3
scholarship,2.5
credential,2
competition,1
activity,0.9
#8-大四下
gpa,5
internship,4.5
research,4
credential,3.5
scholarship,3
competition,2.5
activity,2
ielts,1
toefl,1
gre,0.9
gmat,0.9
